City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
207,amarillo,35.222,-101.8313,6.24,40,100,3.09,US,1675828676
208,mattru,7.6244,-11.8332,22.59,82,50,0.53,SL,1675828676
209,aksay,47.26,39.87,-4.86,78,67,6.71,RU,1675828676
210,erzin,36.9559,36.2,0.7,57,94,2.21,TR,1675828677
211,taizhou,32.4933,119.9106,11.13,48,99,6.5,CN,1675828677
212,nabinagar,23.8917,90.9733,23.07,55,7,2.59,BD,1675828677
213,imbituba,-28.24,-48.6703,21.67,90,24,2.68,BR,1675828678
214,chicama,-7.8447,-79.1469,22.3,75,57,1.94,PE,1675828386
215,sorland,67.667,12.6934,5.92,85,100,22.62,NO,1675828678
216,wonthaggi,-38.6044,145.5913,19.9,61,89,5.27,AU,1675828679
217,nicoya,10.1483,-85.452,24.12,74,74,5.56,CR,1675828679
218,lusaka,-15.4067,28.2871,15.93,98,64,1.7,ZM,1675828680
219,ponta do sol,32.6667,-17.1,15.35,64,34,3.58,PT,1675828680
220,erdenet,49.0333,104.0833,-13.17,84,27,1.47,MN,1675828680
221,tautira,-17.7333,-149.15,26.83,61,6,2.3,PF,1675828681
222,vanimo,-2.6741,141.3028,25.43,94,100,4.05,PG,1675828681
223,nynashamn,58.9034,17.9479,2.31,92,100,7.21,SE,1675828681
224,cairns,-16.9167,145.7667,34.48,89,100,2.57,AU,1675828682
225,resistencia,-27.4606,-58.9839,30.05,52,80,3.09,AR,1675828682
226,kjollefjord,70.9457,27.3465,1.03,69,55,11.83,NO,1675828682
227,niamey,13.5137,2.1098,24.16,15,0,2.57,NE,1675828683
228,isangel,-19.55,169.2667,27.5,76,94,1.18,VU,1675828683
229,grand gaube,-20.0064,57.6608,26.32,81,20,3.13,MU,1675828483
230,svetlaya,46.5389,138.3297,-7.19,44,30,6.04,RU,1675828684
231,ambon,-3.6954,128.1814,33.08,55,20,4.63,ID,1675828684
232,torbay,47.6666,-52.7314,-3.12,86,75,10.8,CA,1675828684
233,albanel,48.8832,-72.4487,-1.92,74,100,4.12,CA,1675828685
234,georgetown,5.4112,100.3354,29.96,70,20,4.12,MY,1675828549
235,praia da vitoria,38.7333,-27.0667,13.14,76,75,5.44,PT,1675828685
236,nanjangud,12.1197,76.6828,21.58,43,52,2.69,IN,1675828686
237,safaga,26.7292,33.9365,13.38,51,100,6.82,EG,1675828686
238,darhan,49.4867,105.9228,-15.64,88,10,2.09,MN,1675828686
239,lagos,6.5833,3.75,26.18,88,75,1.29,NG,1675828391
240,sapouy,11.5544,-1.7736,24.13,19,42,2.8,BF,1675828687
241,nizhnevartovsk,60.9344,76.5531,-30.55,76,20,2.0,RU,1675828687
242,vilyuysk,63.7553,121.6247,-34.91,94,100,0.89,RU,1675828688
243,puerto escondido,15.85,-97.0667,24.8,70,1,2.81,MX,1675828688
244,shingu,33.7333,135.9833,15.12,35,4,3.93,JP,1675828688
245,gat,31.61,34.7642,9.49,100,44,6.11,IL,1675828689
246,show low,34.2542,-110.0298,-1.07,72,20,0.0,US,1675828689
247,chuy,-33.6971,-53.4616,20.37,84,14,2.78,UY,1675828590
248,monrovia,6.3005,-10.7969,23.87,90,98,2.31,LR,1675828690
249,vao,-22.6667,167.4833,26.8,71,41,6.2,NC,1675828690
250,richards bay,-28.783,32.0377,22.65,94,33,3.5,ZA,1675828690
251,kathu,7.9178,98.3332,29.9,66,45,3.32,TH,1675828691
252,malatya,38.5,38.0,-3.97,59,100,4.12,TR,1675828691
253,panacan,9.2463,118.4082,28.37,70,100,5.42,PH,1675828691
254,general roca,-39.0333,-67.5833,24.23,23,1,6.63,AR,1675828692
255,chokurdakh,70.6333,147.9167,-37.27,99,100,1.55,RU,1675828692
256,mehamn,71.0357,27.8492,1.95,69,50,11.83,NO,1675828433
257,oistins,13.0667,-59.5333,24.05,88,40,5.14,BB,1675828676
258,wenling,28.3669,121.36,9.97,77,100,5.16,CN,1675828693
259,ayan,56.45,138.1667,-26.04,58,30,2.73,RU,1675828693
260,halacho,20.4833,-90.0833,24.12,73,6,3.69,MX,1675828693
261,tambopata,-12.7333,-69.1833,21.74,98,72,0.82,PE,1675828694
262,norman wells,65.282,-126.8329,-21.98,77,75,2.06,CA,1675828637
263,sambava,-14.2667,50.1667,24.48,87,89,3.27,MG,1675828694
264,grootfontein,-19.5667,18.1167,17.76,88,100,1.54,NA,1675828694
265,sabang,5.8933,95.3214,27.61,74,100,6.68,ID,1675828695
266,laem sing,12.4816,102.0738,32.25,91,70,1.51,TH,1675828695
267,menomonie,44.8755,-91.9193,-0.98,86,0,1.54,US,1675828695
268,arraial do cabo,-22.9661,-42.0278,23.7,92,100,2.26,BR,1675828696
269,voyvozh,62.892,54.9635,-9.28,95,100,4.56,RU,1675828696
270,clyde river,70.4692,-68.5914,-34.87,68,0,2.57,CA,1675828697
271,pietermaritzburg,-29.6168,30.3928,19.32,97,100,0.51,ZA,1675828697
272,nouadhibou,20.931,-17.0347,16.0,69,0,9.6,MR,1675828597
273,svetlyy,54.675,20.1347,1.03,84,92,5.42,RU,1675828697
274,henties bay,-22.116,14.2845,17.81,91,51,2.26,NA,1675828698
